########################################################################################################################                                                                                                     
#                            Information of the orbit of Hayabusa2                                                     #                                                                                                     
#                                                                                   JAXA Hayabusa2 Orbit Planning Team #                                                                                                     
########################################################################################################################                                                                                                     
# L+    : Total date counted from the launchÅiLaunch date & time (2014/12/3 4:22:04UT)  [day]                                                                                                                                              
# X,Y,Z : Coordinate value based on the ecliptic plane [km]                                                                                          
# Rs    : Distance between Hayabusa2 and the Sun       [10^4km]                                                                                                                                                     
# Re    : Distance between Hayabusa2 and the Earth     [10^4km]                                                                                                                                                     
# Ra    : Distance between Hayabusa2 and Ryugu         [10^4km]                                                                                                                                                     
# Vs    : Cruising speed of Hayabusa2 (relative to the velocity of the Sun)    [km/s]                                                                                                                                                   
# Ve    : Relative speed of Hayabusa2 to the Earth     [km/s]                                                                                                                                                   
# alpha : Right ascension of Hayabusa2 as seen from the Earth  [deg]                                                                                                                                                                 
# delta : Declination of Hayabusa2 as seen from the Earth      [deg]                                                                                                                                                                 
# Dflt  : Total flight distance of Hayabusa2           [10^4km]                                                                                                                                                                                                                                                                                                                                                           
#============================================================================================================================================================================================================================
#                             |-----------  Spacecraft  ----------|  |-----------    Earth    -----------| |-----------    Ryugu      ----------|                                                                           
#       UTC             L+        X            Y            Z            X            Y            Z            X            Y            Z            Rs         Re         Ra       Vs       Ve     alpha    delta   Dflt  
#                      [day]     [km]         [km]         [km]         [km]         [km]         [km]         [km]         [km]         [km]       [10^4km]   [10^4km]   [10^4km]  [km/s]   [km/s]   [deg]    [deg] [10^4km]
#--------1---------------2--------3------------4------------5------------6------------7------------8------------9------------10-----------11-----------12---------13---------14-------15-------16-------17-------18-----19---
2020/02/28.04:59:59   1913.0  -93311000.0 -176738000.0   -3571000.0 -138132000.0   53592000.0      -1000.0  -93382000.0 -177225000.0   -3362000.0   19989.03   23467.82      53.47   24.01   33.68   -77.95   -23.85 465135.2
2020/02/29.04:59:59   1914.0  -91634000.0 -177939000.0   -3370000.0 -139083000.0   51174000.0      -1000.0  -91707000.0 -178436000.0   -3158000.0   20017.64   23399.99      54.50   23.97   33.53   -77.20   -23.75 465342.4
2020/03/01.04:59:59   1915.0  -89945000.0 -179118000.0   -3169000.0 -139992000.0   48740000.0      -1000.0  -90020000.0 -179625000.0   -2955000.0   20045.89   23331.27      55.54   23.93   33.39   -76.46   -23.64 465549.4
2020/03/02.04:59:59   1916.0  -88245000.0 -180276000.0   -2968000.0 -140858000.0   46292000.0      -1000.0  -88323000.0 -180792000.0   -2751000.0   20073.77   23261.64      56.59   23.89   33.25   -75.72   -23.52 465756.0
2020/03/03.04:59:59   1917.0  -86535000.0 -181411000.0   -2766000.0 -141682000.0   43830000.0      -1000.0  -86614000.0 -181938000.0   -2546000.0   20101.27   23191.13      57.65   23.86   33.11   -74.98   -23.41 465962.3
2020/03/04.04:59:59   1918.0  -84814000.0 -182524000.0   -2564000.0 -142462000.0   41355000.0      -1000.0  -84895000.0 -183061000.0   -2342000.0   20128.40   23119.73      58.71   23.82   32.98   -74.25   -23.29 466168.2
2020/03/05.04:59:59   1919.0  -83083000.0 -183615000.0   -2362000.0 -143199000.0   38868000.0      -1000.0  -83166000.0 -184162000.0   -2137000.0   20155.15   23047.46      59.79   23.78   32.84   -73.52   -23.17 466373.8
2020/03/06.04:59:59   1920.0  -81341000.0 -184684000.0   -2159000.0 -143892000.0   36369000.0      -1000.0  -81427000.0 -185242000.0   -1932000.0   20181.52   22974.33      60.88   23.75   32.70   -72.79   -23.04 466579.2
2020/03/07.04:59:59   1921.0  -79590000.0 -185730000.0   -1957000.0 -144542000.0   33860000.0      -1000.0  -79678000.0 -186299000.0   -1726000.0   20207.51   22900.34      61.98   23.71   32.56   -72.07   -22.91 466784.2
2020/03/08.04:59:59   1922.0  -77830000.0 -186754000.0   -1754000.0 -145149000.0   31340000.0      -1000.0  -77920000.0 -187333000.0   -1521000.0   20233.12   22825.50      63.09   23.67   32.42   -71.34   -22.78 466988.9
2020/03/09.04:59:59   1923.0  -76060000.0 -187756000.0   -1550000.0 -145711000.0   28811000.0      -1000.0  -76152000.0 -188346000.0   -1315000.0   20258.35   22749.81      64.21   23.64   32.29   -70.63   -22.64 467193.3
2020/03/10.04:59:59   1924.0  -74281000.0 -188735000.0   -1347000.0 -146230000.0   26273000.0      -1000.0  -74376000.0 -189336000.0   -1109000.0   20283.19   22673.27      65.34   23.61   32.15   -69.91   -22.50 467397.4
2020/03/11.04:59:59   1925.0  -72493000.0 -189693000.0   -1143000.0 -146706000.0   23728000.0      -1000.0  -72590000.0 -190305000.0    -903000.0   20307.64   22595.89      66.48   23.57   32.02   -69.20   -22.36 467601.2
2020/03/12.04:59:59   1926.0  -70696000.0 -190627000.0    -939000.0 -147137000.0   21175000.0          0.0  -70796000.0 -191250000.0    -696000.0   20331.70   22517.66      67.64   23.54   31.89   -68.49   -22.21 467804.7
2020/03/13.04:59:59   1927.0  -68891000.0 -191539000.0    -736000.0 -147524000.0   18615000.0          0.0  -68994000.0 -192174000.0    -490000.0   20355.38   22438.58      68.81   23.51   31.75   -67.78   -22.06 468007.9
2020/03/14.04:59:59   1928.0  -67079000.0 -192429000.0    -532000.0 -147866000.0   16050000.0          0.0  -67184000.0 -193075000.0    -284000.0   20378.66   22358.67      69.99   23.48   31.62   -67.08   -21.91 468210.9
2020/03/15.04:59:59   1929.0  -65258000.0 -193296000.0    -328000.0 -148165000.0   13480000.0          0.0  -65366000.0 -193954000.0     -77000.0   20401.55   22277.91      71.18   23.44   31.49   -66.38   -21.75 468413.6
2020/03/16.04:59:59   1930.0  -63429000.0 -194141000.0    -124000.0 -148419000.0   10906000.0          0.0  -63541000.0 -194810000.0     128000.0   20424.05   22196.31      72.39   23.41   31.35   -65.68   -21.59 468616.0
2020/03/17.04:59:59   1931.0  -61594000.0 -194963000.0      79000.0 -148628000.0    8328000.0          0.0  -61708000.0 -195644000.0     334000.0   20446.15   22113.88      73.61   23.38   31.22   -64.99   -21.43 468818.2
2020/03/18.04:59:59   1932.0  -59751000.0 -195762000.0     283000.0 -148793000.0    5747000.0          0.0  -59868000.0 -196455000.0     541000.0   20467.85   22030.63      74.85   23.35   31.09   -64.30   -21.26 469020.1
2020/03/19.04:59:59   1933.0  -57901000.0 -196539000.0     488000.0 -148913000.0    3164000.0          0.0  -58021000.0 -197244000.0     747000.0   20489.16   21946.55      76.10   23.33   30.95   -63.61   -21.10 469221.8
2020/03/20.04:59:59   1934.0  -56045000.0 -197293000.0     691000.0 -148988000.0     581000.0          0.0  -56168000.0 -198011000.0     953000.0   20510.07   21861.67      77.37   23.30   30.82   -62.92   -20.92 469423.2
2020/03/21.04:59:59   1935.0  -54182000.0 -198025000.0     895000.0 -149018000.0   -2003000.0          0.0  -54308000.0 -198755000.0    1159000.0   20530.58   21775.98      78.65   23.27   30.68   -62.24   -20.75 469624.4
2020/03/22.04:59:59   1936.0  -52313000.0 -198733000.0    1099000.0 -149004000.0   -4586000.0          0.0  -52442000.0 -199476000.0    1365000.0   20550.68   21689.50      79.94   23.24   30.55   -61.56   -20.57 469825.3
2020/03/23.04:59:59   1937.0  -50438000.0 -199420000.0    1303000.0 -148944000.0   -7169000.0       1000.0  -50571000.0 -200175000.0    1571000.0   20570.39   21602.24      81.25   23.22   30.41   -60.89   -20.39 470026.0
2020/03/24.04:59:59   1938.0  -48557000.0 -200083000.0    1506000.0 -148840000.0   -9749000.0       1000.0  -48693000.0 -200851000.0    1776000.0   20589.69   21514.22      82.58   23.19   30.28   -60.22   -20.21 470226.5
2020/03/25.04:59:59   1939.0  -46671000.0 -200724000.0    1710000.0 -148692000.0  -12326000.0       1000.0  -46810000.0 -201505000.0    1982000.0   20608.58   21425.43      83.93   23.16   30.14   -59.55   -20.03 470426.7
2020/03/26.04:59:59   1940.0  -44779000.0 -201342000.0    1913000.0 -148499000.0  -14900000.0       1000.0  -44922000.0 -202137000.0    2187000.0   20627.07   21335.90      85.29   23.14   30.00   -58.88   -19.84 470626.8
2020/03/27.04:59:59   1941.0  -42882000.0 -201937000.0    2116000.0 -148261000.0  -17469000.0       1000.0  -43029000.0 -202745000.0    2392000.0   20645.15   21245.63      86.67   23.12   29.87   -58.22   -19.65 470826.6
2020/03/28.04:59:59   1942.0  -40981000.0 -202510000.0    2318000.0 -147979000.0  -20033000.0       1000.0  -41131000.0 -203332000.0    2597000.0   20662.83   21154.64      88.06   23.09   29.73   -57.56   -19.46 471026.2
2020/03/29.04:59:59   1943.0  -39075000.0 -203060000.0    2521000.0 -147653000.0  -22590000.0       1000.0  -39228000.0 -203895000.0    2801000.0   20680.10   21062.94      89.48   23.07   29.60   -56.90   -19.26 471225.6
2020/03/30.04:59:59   1944.0  -37164000.0 -203587000.0    2723000.0 -147283000.0  -25141000.0       1000.0  -37321000.0 -204437000.0    3005000.0   20696.96   20970.55      90.91   23.05   29.46   -56.25   -19.06 471424.8
2020/03/31.04:59:59   1945.0  -35250000.0 -204091000.0    2925000.0 -146869000.0  -27684000.0       1000.0  -35410000.0 -204955000.0    3209000.0   20713.40   20877.47      92.36   23.02   29.33   -55.60   -18.86 471623.8
2020/04/01.04:59:59   1946.0  -33331000.0 -204573000.0    3126000.0 -146412000.0  -30219000.0       1000.0  -33495000.0 -205451000.0    3412000.0   20729.44   20783.72      93.83   23.00   29.19   -54.95   -18.66 471822.7
2020/04/02.04:59:59   1947.0  -31409000.0 -205032000.0    3327000.0 -145911000.0  -32744000.0       1000.0  -31577000.0 -205925000.0    3615000.0   20745.06   20689.30      95.31   22.98   29.06   -54.31   -18.45 472021.3
2020/04/03.04:59:59   1948.0  -29483000.0 -205468000.0    3528000.0 -145367000.0  -35260000.0       1000.0  -29655000.0 -206376000.0    3818000.0   20760.28   20594.24      96.82   22.96   28.92   -53.67   -18.24 472219.8
2020/04/04.04:59:59   1949.0  -27554000.0 -205881000.0    3729000.0 -144780000.0  -37764000.0       1000.0  -27729000.0 -206804000.0    4020000.0   20775.08   20498.54      98.35   22.94   28.79   -53.03   -18.03 472418.1
2020/04/05.04:59:59   1950.0  -25622000.0 -206272000.0    3929000.0 -144151000.0  -40258000.0       1000.0  -25801000.0 -207210000.0    4222000.0   20789.46   20402.21      99.89   22.92   28.66   -52.39   -17.82 472616.2
2020/04/06.04:59:59   1951.0  -23687000.0 -206640000.0    4128000.0 -143479000.0  -42739000.0       1000.0  -23870000.0 -207593000.0    4423000.0   20803.43   20305.25     101.46   22.90   28.53   -51.76   -17.60 472814.2
2020/04/07.04:59:59   1952.0  -21750000.0 -206985000.0    4327000.0 -142765000.0  -45208000.0       2000.0  -21936000.0 -207954000.0    4624000.0   20816.98   20207.68     103.05   22.88   28.40   -51.13   -17.39 473012.0
2020/04/08.04:59:59   1953.0  -19810000.0 -207307000.0    4526000.0 -142009000.0  -47663000.0       2000.0  -20000000.0 -208292000.0    4824000.0   20830.12   20109.50     104.66   22.87   28.27   -50.51   -17.17 473209.6
2020/04/09.04:59:59   1954.0  -17868000.0 -207607000.0    4724000.0 -141212000.0  -50105000.0       2000.0  -18062000.0 -208608000.0    5024000.0   20842.84   20010.71     106.28   22.85   28.14   -49.88   -16.94 473407.1
2020/04/10.04:59:59   1955.0  -15924000.0 -207884000.0    4922000.0 -140373000.0  -52532000.0       2000.0  -16122000.0 -208901000.0    5223000.0   20855.14   19911.31     107.93   22.83   28.01   -49.26   -16.72 473604.5
2020/04/11.04:59:59   1956.0  -13978000.0 -208138000.0    5119000.0 -139493000.0  -54944000.0       2000.0  -14180000.0 -209172000.0    5422000.0   20867.02   19811.31     109.61   22.82   27.88   -48.64   -16.49 473801.7
2020/04/12.04:59:59   1957.0  -12031000.0 -208370000.0    5315000.0 -138573000.0  -57339000.0       2000.0  -12236000.0 -209420000.0    5620000.0   20878.49   19710.71     111.30   22.80   27.75   -48.03   -16.26 473998.8
2020/04/13.04:59:59   1958.0  -10082000.0 -208579000.0    5511000.0 -137611000.0  -59718000.0       3000.0  -10291000.0 -209646000.0    5818000.0   20889.54   19609.51     113.01   22.79   27.62   -47.42   -16.03 474195.7
2020/04/14.04:59:59   1959.0   -8133000.0 -208765000.0    5706000.0 -136609000.0  -62080000.0       3000.0   -8345000.0 -209850000.0    6014000.0   20900.16   19507.73     114.75   22.77   27.50   -46.81   -15.80 474392.5
2020/04/15.04:59:59   1960.0   -6182000.0 -208928000.0    5901000.0 -135568000.0  -64424000.0       3000.0   -6399000.0 -210031000.0    6211000.0   20910.37   19405.37     116.51   22.76   27.37   -46.20   -15.56 474589.2
2020/04/16.04:59:59   1961.0   -4231000.0 -209069000.0    6095000.0 -134486000.0  -66749000.0       3000.0   -4451000.0 -210189000.0    6406000.0   20920.15   19302.44     118.30   22.75   27.24   -45.60   -15.33 474785.8
2020/04/17.04:59:59   1962.0   -2279000.0 -209188000.0    6289000.0 -133365000.0  -69055000.0       3000.0   -2503000.0 -210326000.0    6601000.0   20929.51   19198.95     120.10   22.73   27.11   -45.00   -15.09 474982.3
2020/04/18.04:59:59   1963.0    -327000.0 -209283000.0    6481000.0 -132204000.0  -71341000.0       4000.0    -555000.0 -210439000.0    6795000.0   20938.45   19094.90     121.93   22.72   26.98   -44.40   -14.85 475178.7
2020/04/19.04:59:59   1964.0    1624000.0 -209357000.0    6673000.0 -131005000.0  -73606000.0       4000.0    1392000.0 -210531000.0    6989000.0   20946.97   18990.33     123.79   22.71   26.85   -43.80   -14.60 475375.0
2020/04/20.04:59:59   1965.0    3575000.0 -209407000.0    6865000.0 -129767000.0  -75850000.0       4000.0    3340000.0 -210600000.0    7181000.0   20955.07   18885.22     125.66   22.70   26.72   -43.21   -14.36 475571.1
2020/04/21.04:59:59   1966.0    5527000.0 -209435000.0    7055000.0 -128491000.0  -78071000.0       4000.0    5288000.0 -210647000.0    7373000.0   20962.74   18779.60     127.57   22.69   26.59   -42.62   -14.11 475767.2
2020/04/22.04:59:59   1967.0    7478000.0 -209441000.0    7245000.0 -127178000.0  -80270000.0       4000.0    7235000.0 -210672000.0    7565000.0   20969.99   18673.48     129.49   22.68   26.46   -42.03   -13.86 475963.2
2020/04/23.04:59:59   1968.0    9428000.0 -209424000.0    7434000.0 -125827000.0  -82445000.0       4000.0    9182000.0 -210674000.0    7755000.0   20976.82   18566.88     131.44   22.67   26.33   -41.45   -13.61 476159.2
2020/04/24.04:59:59   1969.0   11377000.0 -209384000.0    7622000.0 -124440000.0  -84597000.0       4000.0   11127000.0 -210655000.0    7945000.0   20983.22   18459.80     133.42   22.66   26.20   -40.87   -13.36 476355.0
2020/04/25.04:59:59   1970.0   13324000.0 -209322000.0    7810000.0 -123016000.0  -86723000.0       4000.0   13072000.0 -210613000.0    8133000.0   20989.20   18352.26     135.42   22.66   26.07   -40.29   -13.10 476550.8
2020/04/26.04:59:59   1971.0   15271000.0 -209238000.0    7996000.0 -121556000.0  -88824000.0       4000.0   15014000.0 -210549000.0    8321000.0   20994.75   18244.28     137.45   22.65   25.94   -39.71   -12.85 476746.5
2020/04/27.04:59:59   1972.0   17216000.0 -209131000.0    8182000.0 -120061000.0  -90899000.0       4000.0   16956000.0 -210463000.0    8508000.0   20999.88   18135.87     139.50   22.64   25.81   -39.14   -12.59 476942.1
2020/04/28.04:59:59   1973.0   19158000.0 -209002000.0    8367000.0 -118531000.0  -92947000.0       4000.0   18895000.0 -210354000.0    8694000.0   21004.58   18027.04     141.57   22.64   25.68   -38.57   -12.33 477137.7
2020/04/29.04:59:59   1974.0   21099000.0 -208851000.0    8551000.0 -116967000.0  -94968000.0       4000.0   20833000.0 -210224000.0    8879000.0   21008.86   17917.81     143.68   22.63   25.54   -38.00   -12.07 477333.3
2020/04/30.04:59:59   1975.0   23038000.0 -208677000.0    8734000.0 -115369000.0  -96962000.0       4000.0   22768000.0 -210072000.0    9064000.0   21012.71   17808.20     145.81   22.62   25.41   -37.44   -11.80 477528.8
2020/05/01.04:59:59   1976.0   24974000.0 -208481000.0    8916000.0 -113738000.0  -98927000.0       4000.0   24701000.0 -209897000.0    9247000.0   21016.13   17698.21     147.96   22.62   25.28   -36.88   -11.54 477724.2
2020/05/02.04:59:59   1977.0   26907000.0 -208263000.0    9097000.0 -112074000.0 -100863000.0       4000.0   26632000.0 -209701000.0    9429000.0   21019.13   17587.86     150.14   22.62   25.16   -36.32   -11.27 477919.6
2020/05/03.04:59:59   1978.0   28838000.0 -208022000.0    9277000.0 -110377000.0 -102771000.0       4000.0   28560000.0 -209483000.0    9611000.0   21021.71   17477.16     152.35   22.61   25.03   -35.76   -11.00 478115.0
2020/05/04.04:59:59   1979.0   30766000.0 -207760000.0    9456000.0 -108650000.0 -104648000.0       4000.0   30484000.0 -209242000.0    9791000.0   21023.85   17366.12     154.59   22.61   24.90   -35.20   -10.73 478310.4
2020/05/05.04:59:59   1980.0   32690000.0 -207475000.0    9634000.0 -106891000.0 -106495000.0       4000.0   32406000.0 -208980000.0    9970000.0   21025.57   17254.74     156.85   22.61   24.77   -34.65   -10.46 478505.7
2020/05/06.04:59:59   1981.0   34611000.0 -207168000.0    9812000.0 -105101000.0 -108312000.0       4000.0   34324000.0 -208697000.0   10148000.0   21026.87   17143.04     159.14   22.61   24.65   -34.10   -10.19 478701.0
2020/05/07.04:59:59   1982.0   36528000.0 -206839000.0    9988000.0 -103282000.0 -110097000.0       5000.0   36238000.0 -208391000.0   10326000.0   21027.74   17031.02     161.46   22.60   24.52   -33.55    -9.91 478896.3
2020/05/08.04:59:59   1983.0   38441000.0 -206488000.0   10163000.0 -101433000.0 -111851000.0       5000.0   38149000.0 -208064000.0   10502000.0   21028.18   16918.69     163.80   22.60   24.40   -33.01    -9.64 479091.6
2020/05/09.04:59:59   1984.0   40350000.0 -206115000.0   10337000.0  -99555000.0 -113573000.0       5000.0   40056000.0 -207715000.0   10677000.0   21028.20   16806.04     166.18   22.60   24.27   -32.47    -9.36 479286.9
2020/05/10.04:59:59   1985.0   42255000.0 -205720000.0   10510000.0  -97648000.0 -115262000.0       5000.0   41959000.0 -207344000.0   10851000.0   21027.79   16693.08     168.58   22.60   24.15   -31.93    -9.08 479482.2
2020/05/11.04:59:59   1986.0   44155000.0 -205303000.0   10681000.0  -95713000.0 -116919000.0       5000.0   43857000.0 -206952000.0   11024000.0   21026.95   16579.83     171.01   22.61   24.02   -31.39    -8.80 479677.5
2020/05/12.04:59:59   1987.0   46051000.0 -204864000.0   10852000.0  -93751000.0 -118542000.0       5000.0   45750000.0 -206538000.0   11195000.0   21025.68   16466.28     173.47   22.61   23.90   -30.85    -8.52 479872.8
2020/05/13.04:59:59   1988.0   47941000.0 -204403000.0   11021000.0  -91762000.0 -120132000.0       6000.0   47639000.0 -206102000.0   11366000.0   21023.99   16352.45     175.96   22.61   23.78   -30.32    -8.23 480068.2
2020/05/14.04:59:59   1989.0   49827000.0 -203921000.0   11190000.0  -89746000.0 -121687000.0       6000.0   49523000.0 -205645000.0   11535000.0   21021.87   16238.35     178.49   22.62   23.65   -29.79    -7.95 480263.6
2020/05/15.04:59:59   1990.0   51708000.0 -203416000.0   11357000.0  -87705000.0 -123208000.0       6000.0   51402000.0 -205167000.0   11703000.0   21019.32   16123.99     181.05   22.62   23.53   -29.26    -7.66 480459.0
2020/05/16.04:59:59   1991.0   53583000.0 -202890000.0   11523000.0  -85638000.0 -124693000.0       6000.0   53275000.0 -204667000.0   11870000.0   21016.33   16009.38     183.65   22.63   23.40   -28.73    -7.37 480654.4
2020/05/17.04:59:59   1992.0   55452000.0 -202342000.0   11688000.0  -83546000.0 -126143000.0       6000.0   55143000.0 -204146000.0   12035000.0   21012.92   15894.53     186.29   22.63   23.28   -28.21    -7.08 480849.9
2020/05/18.04:59:59   1993.0   57316000.0 -201773000.0   11852000.0  -81430000.0 -127557000.0       6000.0   57005000.0 -203604000.0   12200000.0   21009.09   15779.46     188.96   22.64   23.15   -27.69    -6.79 481045.5
2020/05/19.04:59:59   1994.0   59173000.0 -201182000.0   12014000.0  -79291000.0 -128934000.0       6000.0   58862000.0 -203041000.0   12363000.0   21004.82   15664.18     191.66   22.64   23.03   -27.17    -6.50 481241.1
2020/05/20.04:59:59   1995.0   61025000.0 -200569000.0   12176000.0  -77129000.0 -130274000.0       6000.0   60712000.0 -202456000.0   12525000.0   21000.13   15548.70     194.40   22.65   22.90   -26.65    -6.20 481436.8
2020/05/21.04:59:59   1996.0   62869000.0 -199935000.0   12336000.0  -74945000.0 -131577000.0       6000.0   62555000.0 -201850000.0   12685000.0   20995.02   15433.03     197.17   22.66   22.77   -26.14    -5.91 481632.5
2020/05/22.04:59:59   1997.0   64708000.0 -199279000.0   12495000.0  -72739000.0 -132842000.0       6000.0   64392000.0 -201223000.0   12844000.0   20989.47   15317.20     199.99   22.67   22.65   -25.62    -5.61 481828.3
2020/05/23.04:59:59   1998.0   66539000.0 -198602000.0   12652000.0  -70512000.0 -134070000.0       6000.0   66223000.0 -200575000.0   13002000.0   20983.50   15201.22     202.84   22.68   22.52   -25.11    -5.31 482024.2
2020/05/24.04:59:59   1999.0   68363000.0 -197904000.0   12808000.0  -68265000.0 -135258000.0       6000.0   68046000.0 -199906000.0   13159000.0   20977.10   15085.10     205.73   22.69   22.39   -24.61    -5.01 482220.2
2020/05/25.04:59:59   2000.0   70180000.0 -197184000.0   12963000.0  -65999000.0 -136408000.0       6000.0   69863000.0 -199217000.0   13314000.0   20970.28   14968.85     208.65   22.70   22.26   -24.10    -4.71 482416.2
2020/05/26.04:59:59   2001.0   71990000.0 -196443000.0   13117000.0  -63714000.0 -137519000.0       6000.0   71672000.0 -198506000.0   13467000.0   20963.04   14852.50     211.60   22.71   22.14   -23.60    -4.41 482612.4
